customerid,month_start,preferences,type,revenue/income,list_of_posts
IND020,2025-07-01,Yoga,individual,0.0,[]
IND020,2025-08-01,Yoga,individual,0.0,[]
IND020,2025-09-01,Yoga,individual,3879.0,[]
IND020,2025-10-01,Yoga,individual,0.0,[]
IND021,2025-02-01,Country Music,individual,0.0,[]
IND021,2025-03-01,Country Music,individual,0.0,[]
IND021,2025-04-01,Country Music,individual,0.0,[]
IND021,2025-05-01,Country Music,individual,0.0,[]
IND021,2025-06-01,Country Music,individual,0.0,"[""Country music's biggest rising stars in 2025!"", 'A sneak peek into our latest Nashville studio session!', 'The evolution of country music over the decades.']"
IND021,2025-07-01,Country Music,individual,0.0,[]
IND021,2025-08-01,Country Music,individual,0.0,[]
IND021,2025-09-01,Country Music,individual,7619.0,[]
IND021,2025-10-01,Country Music,individual,0.0,[]
IND022,2025-02-01,Disney Fan,individual,0.0,[]
IND022,2025-03-01,Disney Fan,individual,0.0,[]
IND022,2025-04-01,Disney Fan,individual,0.0,[]
IND022,2025-05-01,Disney Fan,individual,0.0,[]
IND022,2025-06-01,Disney Fan,individual,0.0,"['How to plan a magical theme park trip on a budget.', 'Disneyland vs. Universal—Which is the better experience?', 'Behind the scenes of running a major theme park event.']"
IND022,2025-07-01,Disney Fan,individual,0.0,[]
IND022,2025-08-01,Disney Fan,individual,0.0,[]
IND022,2025-09-01,Disney Fan,individual,12259.0,[]
IND022,2025-10-01,Disney Fan,individual,0.0,[]
IND023,2025-02-01,App Development,individual,0.0,[]
IND023,2025-03-01,App Development,individual,0.0,[]
IND023,2025-04-01,App Development,individual,0.0,[]
IND023,2025-05-01,App Development,individual,0.0,[]
IND023,2025-06-01,App Development,individual,0.0,"['Best programming languages for app development in 2025.', 'iOS vs. Android development—Which one is more in demand?', 'The journey of building a successful mobile app.']"
IND023,2025-07-01,App Development,individual,0.0,[]
IND023,2025-08-01,App Development,individual,0.0,[]
IND023,2025-09-01,App Development,individual,2800.0,[]
IND023,2025-10-01,App Development,individual,2199.0,[]
IND024,2025-02-01,Interior Design,individual,0.0,[]
IND024,2025-03-01,Interior Design,individual,0.0,[]
IND024,2025-04-01,Interior Design,individual,0.0,[]
IND024,2025-05-01,Interior Design,individual,0.0,[]
IND024,2025-06-01,Interior Design,individual,0.0,"['Minimalist home decor—How to make it work for you.', 'Top interior design trends for 2025!', 'How lighting affects the mood of your space.']"
IND024,2025-07-01,Interior Design,individual,0.0,[]
IND024,2025-08-01,Interior Design,individual,0.0,[]
IND024,2025-09-01,Interior Design,individual,0.0,[]
IND024,2025-10-01,Interior Design,individual,9929.0,[]
IND025,2025-02-01,Film Production,individual,0.0,[]
IND025,2025-03-01,Film Production,individual,0.0,[]
IND025,2025-04-01,Film Production,individual,0.0,[]
IND025,2025-05-01,Film Production,individual,0.0,[]
IND025,2025-06-01,Film Production,individual,0.0,[]
IND025,2025-07-01,Film Production,individual,0.0,"['The art of storytelling in filmmaking.', 'Behind the scenes of our latest indie film project!', 'The impact of streaming services on the movie industry.']"
IND025,2025-08-01,Film Production,individual,0.0,[]
IND025,2025-09-01,Film Production,individual,0.0,[]
IND025,2025-10-01,Film Production,individual,17359.0,[]
IND026,2025-02-01,Book Club,individual,0.0,[]
IND026,2025-03-01,Book Club,individual,0.0,[]
IND026,2025-04-01,Book Club,individual,0.0,[]
IND026,2025-05-01,Book Club,individual,0.0,[]
IND026,2025-06-01,Book Club,individual,0.0,[]
IND026,2025-07-01,Book Club,individual,0.0,[]
IND026,2025-08-01,Book Club,individual,0.0,[]
IND026,2025-09-01,Book Club,individual,0.0,[]
IND026,2025-10-01,Book Club,individual,479.0,[]
IND027,2025-02-01,Street Art,individual,0.0,[]
IND027,2025-03-01,Street Art,individual,0.0,[]
IND027,2025-04-01,Street Art,individual,0.0,[]
IND027,2025-05-01,Street Art,individual,0.0,[]
IND027,2025-06-01,Street Art,individual,0.0,[]
IND027,2025-07-01,Street Art,individual,0.0,[]
IND027,2025-08-01,Street Art,individual,0.0,[]
IND027,2025-09-01,Street Art,individual,0.0,[]
IND027,2025-10-01,Street Art,individual,0.0,[]
